DateTime,Year,Month,Date,Hour,Minute,Second
2020-04-04 23:02:18,2020,4,4,23,2,18
2020-04-04 23:02:48,2020,4,4,23,2,48
2020-04-04 23:03:15,2020,4,4,23,3,15
2020-04-04 23:03:21,2020,4,4,23,3,21
2020-04-04 23:04:13,2020,4,4,23,4,13
2020-04-04 23:04:28,2020,4,4,23,4,28
2020-04-04 23:04:40,2020,4,4,23,4,40
2020-04-04 23:04:43,2020,4,4,23,4,43
2020-04-04 23:04:50,2020,4,4,23,4,50
2020-04-04 23:05:01,2020,4,4,23,5,1
2020-04-04 23:05:08,2020,4,4,23,5,8
2020-04-04 23:05:28,2020,4,4,23,5,28
2020-04-04 23:05:38,2020,4,4,23,5,38
2020-04-04 23:05:40,2020,4,4,23,5,40
2020-04-04 23:05:44,2020,4,4,23,5,44
2020-04-04 23:19:55,2020,4,4,23,19,55
2020-04-04 23:20:44,2020,4,4,23,20,44
2020-04-04 23:29:45,2020,4,4,23,29,45
2020-04-04 23:47:00,2020,4,4,23,47,0
2020-04-04 23:47:03,2020,4,4,23,47,3
2020-04-04 23:47:07,2020,4,4,23,47,7
2020-04-04 23:48:49,2020,4,4,23,48,49
2020-04-04 23:49:02,2020,4,4,23,49,2
2020-04-04 23:49:27,2020,4,4,23,49,27
2020-04-04 23:49:36,2020,4,4,23,49,36
2020-04-04 23:49:44,2020,4,4,23,49,44
2020-04-04 23:49:49,2020,4,4,23,49,49
2020-04-04 23:49:52,2020,4,4,23,49,52
2020-04-04 23:49:55,2020,4,4,23,49,55
2020-04-04 23:49:59,2020,4,4,23,49,59
2020-04-04 23:50:02,2020,4,4,23,50,2
2020-04-04 23:50:05,2020,4,4,23,50,5
2020-04-04 23:50:08,2020,4,4,23,50,8
2020-04-04 23:50:11,2020,4,4,23,50,11
2020-04-04 23:50:24,2020,4,4,23,50,24
2020-04-04 23:50:32,2020,4,4,23,50,32
2020-04-04 23:50:48,2020,4,4,23,50,48
2020-04-04 23:51:05,2020,4,4,23,51,5
2020-04-04 23:51:19,2020,4,4,23,51,19
2020-04-04 23:51:45,2020,4,4,23,51,45
2020-04-04 23:51:56,2020,4,4,23,51,56
2020-04-04 23:51:57,2020,4,4,23,51,57
2020-04-04 23:52:02,2020,4,4,23,52,2
2020-04-04 23:53:17,2020,4,4,23,53,17
2020-04-04 23:53:50,2020,4,4,23,53,50
2020-04-04 23:53:57,2020,4,4,23,53,57
2020-04-04 23:55:00,2020,4,4,23,55,0
2020-04-04 23:55:12,2020,4,4,23,55,12
2020-04-04 23:57:43,2020,4,4,23,57,43
2020-04-04 23:57:48,2020,4,4,23,57,48
